NU_MATRICULA,ANO_INGRESSO,SEMESTRE_INGRESSO,TIPO_INGRESSO,CAMPUS,COD_CURSO,CURSO,NATURALIDADE,UF_NATURALIDADE,PAIS_NATURALIDADE,BAIRRO_ENDERECO,CIDADE_ENDERECO,UF_ENDERECO,SEXO,DATA_NASC,COTA,TIPO_COTA,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,DEFICIENCIA
200984953,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,BONITO,PE,M,03/07/2001,S,L5,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200980308,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,F,04/01/2001,S,L2,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,
200982163,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,F,04/05/2001,S,L2,,ENSINO MEDIO,
200985329,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,PETROPOLIS,CARUARU,PE,F,04/08/2001,S,L2,APERFEICOAMENTO,ENSINO MEDIO,
200983948,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,F,11/01/2002,S,L6,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,
200982245,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SANTA ROSA,CARUARU,PE,F,23/03/1989,N,A0,,,
200985581,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,M,04/05/2002,S,L5,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,
200982420,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,M,07/08/2002,S,L6,ENSINO MEDIO,ENSINO FUNDAMENTAL,
200982065,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,NOSSA SENHORA DAS DORES,CARUARU,PE,M,07/12/2002,S,L6,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,
200981869,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,M,11/06/2002,N,A0,APERFEICOAMENTO,SUPERIOR INCOMPLETO,
200980460,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,M,12/07/1997,N,A0,APERFEICOAMENTO,APERFEICOAMENTO,
200982459,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,M,20/10/2000,S,L6,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,
200980485,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,M,21/06/1993,S,L6,,,
200982191,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,M,23/10/1997,N,A0,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,
200982281,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,M,25/08/2000,S,L6,APERFEICOAMENTO,SUPERIOR INCOMPLETO,
200981952,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,M,29/08/1987,S,L5,,,
200982351,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SANTA ROSA,CARUARU,PE,M,30/08/1986,S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200984963,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,M,31/08/1996,S,L5,ENSINO FUNDAMENTAL,SEGUNDO GRAU INCOMPLETO,
200982311,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,10/04/1999,N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,
200982339,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,19/03/2002,N,A0,SUPERIOR INCOMPLETO,ENSINO SUPERIOR,
200981469,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,03/11/1996,S,L9,ALFABETIZADO SEM CURSOS REGULARES,ALFABETIZADO SEM CURSOS REGULARES,VISAO SUB-NORMAL OU BAIXA VISAO
200980966,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,03/11/2001,S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200982095,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,10/10/2000,N,A0,APERFEICOAMENTO,APERFEICOAMENTO,
200981865,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,25/05/2002,N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200981542,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,RIACHO DAS ALMAS,PE,F,24/02/2002,S,L5,SEGUNDO GRAU INCOMPLETO,APERFEICOAMENTO,
200979989,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CATENDE,PE,BRA,TANCREDO NEVES,BELO JARDIM,PE,M,24/03/2000,S,L6,SUPERIOR INCOMPLETO,SEGUNDO GRAU INCOMPLETO,
200984279,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,FEIRA NOVA,PE,BRA,CENTRO,FEIRA NOVA,PE,M,29/10/2001,N,A0,SEGUNDO GRAU INCOMPLETO,APERFEICOAMENTO,
200984899,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GARANHUNS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,17/10/2002,N,A0,ENSINO MEDIO,APERFEICOAMENTO,
200980933,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GARANHUNS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,12/05/2002,N,A0,SUPERIOR INCOMPLETO,APERFEICOAMENTO,
200985026,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATA,PE,BRA,CENTRO,BEZERROS,PE,M,28/05/1998,N,A0,SUPERIOR INCOMPLETO,ENSINO MEDIO,
200982242,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATA,PE,BRA,NORTE,GRAVATA,PE,M,11/09/2001,S,L6,SUPERIOR INCOMPLETO,ENSINO MEDIO,
200982225,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATA,PE,BRA,PRADO,GRAVATA,PE,M,12/11/2002,S,L2,SEGUNDO GRAU INCOMPLETO,ENSINO FUNDAMENTAL,
200981922,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATA,PE,BRA,BOA VISTA,GRAVATA,PE,M,16/11/2001,N,A0,SEGUNDO GRAU INCOMPLETO,SEGUNDO GRAU INCOMPLETO,
200979504,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,28/12/1995,N,A0,,,
200981887,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,LIMOEIRO,PE,BRA,CENTRO,LIMOEIRO,PE,M,22/02/2001,N,A0,APERFEICOAMENTO,APERFEICOAMENTO,
200981824,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,MAUA,SP,BRA,SÃO SEBASTIÃO,SURUBIM,PE,F,31/12/1999,N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200979978,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,MOMBAÇA,CE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,06/06/1997,S,L6,SUPERIOR INCOMPLETO,APERFEICOAMENTO,
200979503,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,PALMARES,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,09/09/2002,N,A0,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,
200980474,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,SAO CRISTOVAO,ARCOVERDE,PE,F,22/08/2001,S,L2,SUPERIOR INCOMPLETO,APERFEICOAMENTO,
200982364,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,BOA VISTA,BELO JARDIM,PE,M,03/05/2001,N,A0,ENSINO FUNDAMENTAL,ENSINO SUPERIOR,
200982053,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,CENTRO,CAMARAGIBE,PE,M,22/09/2001,N,A0,APERFEICOAMENTO,SUPERIOR INCOMPLETO,
200982222,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,SAO FRANCISCO,CARUARU,PE,M,18/07/2000,S,L1,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,
200982248,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,PRADO,GRAVATA,PE,F,01/07/2002,N,A0,SUPERIOR INCOMPLETO,APERFEICOAMENTO,
200981761,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,ZONA RURAL,POÇAO,PE,F,15/04/1998,S,L1,,,
200982760,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,15/05/2002,S,L1,ENSINO FUNDAMENTAL,ENSINO MEDIO,
200980638,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,28/08/1995,S,L6,APERFEICOAMENTO,APERFEICOAMENTO,
200982308,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,MAUES,VITORIA DE SANTO ANTAO,PE,F,11/04/2002,S,L6,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200981467,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,MATRIZ,VITORIA DE SANTO ANTAO,PE,M,29/10/2002,N,A0,APERFEICOAMENTO,APERFEICOAMENTO,
200985451,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RIACHO DAS ALMAS,PE,BRA,CENTRO,RIACHO DAS ALMAS,PE,F,25/11/1998,S,L5,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200981135,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RIO FORMOSO,PE,BRA,CENTRO,TORITAMA,PE,M,23/12/1998,N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200980819,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SANTA CRUZ DO CAPIBARIBE,PE,BRA,MALAQUIAS CARDOSO,SANTA CRUZ DO CAPIBARIBE,PE,M,13/02/1993,N,A0,,,
200980998,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SANTA MARIA DO CAMBUCA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,26/02/2001,N,A0,ENSINO FUNDAMENTAL,APERFEICOAMENTO,
200984780,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SAO JOAQUIM DO MONTE,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,15/07/2002,S,L2,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,
200984937,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SAO LUIS,MA,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,22/11/2001,N,A0,ENSINO SUPERIOR,APERFEICOAMENTO,
200979649,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SAO PAULO,SP,BRA,CENTRO,SAO BENTO DO UNA,PE,M,26/05/2002,N,A0,ENSINO FUNDAMENTAL,ENSINO MEDIO,
200981859,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SURUBIM,PE,BRA,LAGOA DA VACA,SURUBIM,PE,F,02/03/2002,S,L1,ENSINO FUNDAMENTAL,ENSINO MEDIO,
200982093,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SURUBIM,PE,BRA,LAGOA DA VACA,SURUBIM,PE,M,01/11/2002,N,A0,SUPERIOR INCOMPLETO,APERFEICOAMENTO,
200982418,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SURUBIM,PE,BRA,LAGOA DA VACA,SURUBIM,PE,M,07/01/2003,S,L2,APERFEICOAMENTO,SEGUNDO GRAU INCOMPLETO,
200982110,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SURUBIM,PE,BRA,LAGOA DA VACA,SURUBIM,PE,M,18/05/2002,N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,
200981888,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SURUBIM,PE,BRA,LAGOA DA VACA,SURUBIM,PE,M,23/08/2002,S,L5,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,
200981767,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,SURUBIM,PE,BRA,CENTRO,TORITAMA,PE,M,27/10/2001,S,L6,ALFABETIZADO SEM CURSOS REGULARES,ENSINO FUNDAMENTAL,
200982084,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,TABOAO DA SERRA,SP,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,17/04/2001,N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200985294,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,TAQUARITINGA DO NORTE,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,16/11/1994,S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200981507,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,VERTENTES,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,29/08/2003,N,A0,ENSINO FUNDAMENTAL,APERFEICOAMENTO,
200982974,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,ARAPIRACA,AL,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,28/01/2002,N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,
200983028,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,ARCOVERDE,PE,BRA,SAO CRISTOVAO,ARCOVERDE,PE,M,18/04/2001,S,L1,APERFEICOAMENTO,SUPERIOR INCOMPLETO,
200981797,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,BELO JARDIM,PE,BRA,BOM CONSELHO,BELO JARDIM,PE,M,22/08/2002,S,L6,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,
200980301,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,19/09/2002,N,A0,ENSINO FUNDAMENTAL,APERFEICOAMENTO,
200979462,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,F,19/12/2001,S,L6,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200979765,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,BEZERROS,PE,BRA,CENTRO,CAMOCIM DE SAO FELIX,PE,F,30/01/2002,N,A0,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,
200983907,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,BONITO,PE,BRA,CENTRO,BONITO,PE,M,08/03/2002,S,L2,ENSINO FUNDAMENTAL,APERFEICOAMENTO,
200984052,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,BONITO,PE,BRA,PETROPOLIS,CARUARU,PE,M,31/12/1981,S,L6,ALFABETIZADO SEM CURSOS REGULARES,SEGUNDO GRAU INCOMPLETO,
200983989,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,BREJO DA MADRE DE DEUS,PE,BRA,CENTRO,BREJO DA MADRE DE DEUS,PE,M,28/11/1996,S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200983587,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CALCADO,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,16/05/2003,S,L6,APERFEICOAMENTO,SUPERIOR INCOMPLETO,
200981302,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CAMOCIM DE SAO FELIX,PE,BRA,CENTRO,CAMOCIM DE SAO FELIX,PE,M,07/01/2001,S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200983902,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CENTRO,BEZERROS,PE,M,12/01/2001,N,A0,APERFEICOAMENTO,APERFEICOAMENTO,
200979842,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,INDIANOPOLIS,CARUARU,PE,F,01/12/1999,N,A0,SUPERIOR INCOMPLETO,APERFEICOAMENTO,
200983987,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,DIVINOPOLIS,CARUARU,PE,F,02/07/2002,N,A0,ENSINO SUPERIOR,APERFEICOAMENTO,
200983865,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,AGAMENOM MAGALHAES,CARUARU,PE,F,26/02/1999,N,A0,APERFEICOAMENTO,ENSINO SUPERIOR,
200979750,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,F,30/05/1994,N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200983980,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,UNIVERSITARIO,CARUARU,PE,M,07/08/2000,N,A0,SUPERIOR INCOMPLETO,APERFEICOAMENTO,
200983039,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,VASSOURAL,CARUARU,PE,M,08/01/2002,N,A0,APERFEICOAMENTO,SUPERIOR INCOMPLETO,
200983716,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,NOSSA SENHORA DAS DORES,CARUARU,PE,M,08/06/1998,N,A0,SUPERIOR INCOMPLETO,APERFEICOAMENTO,
200980046,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,DIVINOPOLIS,CARUARU,PE,M,09/11/1994,N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200983821,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,INDIANOPOLIS,CARUARU,PE,M,15/02/2002,S,L6,SUPERIOR INCOMPLETO,APERFEICOAMENTO,
200983753,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,MAURICIO DE NASSAU,CARUARU,PE,M,21/03/2002,N,A0,SEGUNDO GRAU INCOMPLETO,SUPERIOR INCOMPLETO,
200983223,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,VASSOURAL,CARUARU,PE,M,24/01/1998,S,L5,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200979403,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,03/07/2001,S,L6,,ENSINO FUNDAMENTAL,
200982047,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,09/08/2001,S,L1,ENSINO SUPERIOR,SUPERIOR INCOMPLETO,
200983124,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CENTRO,SURUBIM,PE,F,16/12/2002,N,A0,ENSINO FUNDAMENTAL,ENSINO SUPERIOR,
200983315,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,CARUARU,PE,BRA,CENTRO,TORITAMA,PE,M,01/06/2003,S,L1,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200981155,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,GARANHUNS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,13/12/2000,S,L5,,ENSINO FUNDAMENTAL,
200983437,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,GARANHUNS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,18/09/2001,N,A0,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,
200983986,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,GRAVATA,PE,BRA,PRADO,GRAVATA,PE,M,14/02/2000,N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200979413,2020,1,SISU,AGRESTE,1001,CIÊNCIAS ECONÔMICAS - CAA,ITAQUAQUECETUBA,SP,BRA,SANTO ANTONIO,BELO JARDIM,PE,M,03/01/1997,S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
